id,replyCount,likeCount,publishedAt,authorName,text,authorChannelId,authorChannelUrl,isReply,isReplyTo,isReplyToName
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4YasKZmNxF,,0,"2024-06-11 14:57:48",@EmanuelOliveira-dr2ys,"Mulheres cisgênero = ~50% da humanidade Mulheres transgênero = ~0.5% da humanidade É praticamente impossível esse ""roubo de espaços""",UCP2LNhmmhAcKHBDJ_ZOTmQg,http://www.youtube.com/@EmanuelOliveira-dr2ys,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgwUvTBBABGYnwL_Z3Z4AaABAg.A4UZRQ6i1ZaA4dpZRRrn8Z,,0,"2024-06-14 01:01:36",@yasminkxhswl,"concordo com você, eu sou uma mulher trans e nenhum momento concordo com o movimento extremista que anda correndo, só quero que saiba que mulheres trans não são suas inimigas mas sim esses militantes, trans gênero não tem nda a ver com o conteúdo que relaciona com os militantes, tem a ver sobre confortabilidade mental e não invasão de privacidade como muitos querem pregar, claro que vai existir pessoas LGBT's que acreditam nisso, mas pode ter certeza que nem todos.",UCXHSEJtVGKqLJxxvPVLA9PA,http://www.youtube.com/@yasminkxhswl,1,UgwUvTBBABGYnwL_Z3Z4AaABAg,@amandaLS04
UgzCzItKMgJtsui4DXl4AaABAg,0,0,"2024-06-10 01:14:38",@GeissonIuri,"o movimento gay não se importa com a amanda. o movimento LGBTQIAPxyz que se importa com ela.",UCFaAO2ITpKdu06PEQaHp80Q,http://www.youtube.com/@GeissonIuri,0,,
UgxFOKho21nOGq2flNV4AaABAg,0,1,"2024-06-10 01:14:32",@guilhermerccs,"tem q continuar esse vídeos aqui Renan...abraços",UCi5VGD39C8m5fT9gGvWZ_cA,http://www.youtube.com/@guilhermerccs,0,,
UgyVNiakc9SKxnqdXOZ4AaABAg,0,1,"2024-06-10 01:12:40",@vitordamacenadelima9313,👏🏻👏🏻👏🏻,UCBiO66d_J_2RdJypsIp5rZA,http://www.youtube.com/@vitordamacenadelima9313,0,,
UgxyZVOmkSA_6bhMxtl4AaABAg,0,0,"2024-06-10 01:11:27",@LucasHorst-zi3rl,"Quem esss coisa chamada Erika Hilton pra chamar alguém de feio? ""Ela"" parece um Alien de aparência e voz, além de insuportável e mal caráter, como todo militante esquerdista A deputada Zanatta é uma mulher linda, concerteza ""a"" Erika tem é raiva de saber que nunca vai ser uma mulher de verdade ""Pessoas que gestam"" Mulheres que gestam e sempre será assim👍",UCiEyQLTXfR7dZTzcLw98-7g,http://www.youtube.com/@LucasHorst-zi3rl,0,,
UgxU-ML5ZzP_Dd1ukBV4AaABAg,1,0,"2024-06-10 01:10:25",@rafaelsantos03terra,"Erik Hilton 😂😂😂😂",UCgXiEt-MjRTdojt1KIg120w,http://www.youtube.com/@rafaelsantos03terra,0,,
UgxU-ML5ZzP_Dd1ukBV4AaABAg.A4UYOXC6cBYA4XDKW7N3-O,,0,"2024-06-11 02:04:06",@Gamer.1981,"O nome da Erika Hilton é Felipe Santos Silva",UCXHAPzw91TknKskTdE-9o1w,http://www.youtube.com/@Gamer.1981,1,UgxU-ML5ZzP_Dd1ukBV4AaABAg,@rafaelsantos03terra
UgzqtrZvdTehJchG8tV4AaABAg,0,1,"2024-06-10 01:10:07",@vicb.919,"A verdade é que querem destruir o feminino e o masculino. Perverso!",UCE3W8K71Ka1F8YrZUwrbkgg,http://www.youtube.com/@vicb.919,0,,
Ugwpg-tJOhFsb1qpWcB4AaABAg,0,1,"2024-06-10 01:05:08",@luizeduardogalvaodeoliveir8662,"Segundo o IBGE a população lgbt no brasil é de 12% sendo que 6% se consideram asexuais, acho... que 12% não constrói democracia em lugar nenhum 😂",UCp3eotFN20JBylZXd9G_Iiw,http://www.youtube.com/@luizeduardogalvaodeoliveir8662,0,,
UgxAU9wD80DqesWrBMR4AaABAg,0,0,"2024-06-10 01:00:08",@masyr1935,"O que em um mundo correto seria considerado doença e seria tratado, no nosso bananil é aplaudido e comemorado. Ehh povinho bom",UCfnqjtxsG9VZ2UtHTV3h_TQ,http://www.youtube.com/@masyr1935,0,,
Ugzzy1vkpe53jlNfLGZ4AaABAg,0,7,"2024-06-10 01:00:02",@adrianamedeiros7463,"Modelo??? Tá biruleibe? Eu tô e de saco cheio desse povo",UC2RaWKi4TqTpko-ebjlnrMg,http://www.youtube.com/@adrianamedeiros7463,0,,
Ugxq8TA8nhwuzddTyPp4AaABAg,0,0,"2024-06-10 00:56:58",@jheanmonteiro,"Processa essa criatura",UC6z-tesjqQXjBpOYXf6wsLQ,http://www.youtube.com/@jheanmonteiro,0,,
UgwQmat8JQ_9DuTd3vJ4AaABAg,0,0,"2024-06-10 00:56:32",@ExoticMiss9,"Sou mulher e acho um absurdo, qualquer mulher DE VERDADE, compactuar com esse pessoal abjeto e misógino. Uma mulher que fica do lado deles, realmente não tem nenhuma conexão neural, dentro da cabeça.",UCmFJJFuXtodD0e_w0uHjv0w,http://www.youtube.com/@ExoticMiss9,0,,
UgxuO5o-ZXPXGULrRdN4AaABAg,0,0,"2024-06-10 00:56:03",@fernando.rodrigues,"Cara... e se o Beraldo tomasse frente dos videos desse canal?",UCh2xMtb3z0T7VGg0cHVFBOw,http://www.youtube.com/@fernando.rodrigues,0,,
UgzwTFHGb7IZkUhVX5R4AaABAg,0,0,"2024-06-10 00:55:58",@NeiGomez.,"Mas ela não se considera mulher, ela se considera uma “mulher trans”, tipo o cavalo-marinho, que não é um cavalo de verdade…",UCRg0dtnVQD-h1ziEY_3C3UQ,http://www.youtube.com/@NeiGomez.,0,,
